Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10u","C_0805_2012Metric",104.200000,-98.000000,180.000000,top
"C2","0.1u 50 V","C_0402_1005Metric",104.425000,-117.600000,-90.000000,top
"C3","4.7u 16 V","C_0603_1608Metric",104.400000,-96.200000,180.000000,top
"C5","0.1u 50 V","C_0402_1005Metric",104.425000,-119.600000,90.000000,top
"C6","4.7u 16 V","C_0603_1608Metric",112.600000,-99.025000,90.000000,top
"C7","1u 50 V","C_0603_1608Metric",114.825000,-120.200000,0.000000,top
"C8","1u 50 V","C_0603_1608Metric",114.825000,-115.500000,0.000000,top
"C9","1u 50 V","C_0603_1608Metric",114.900000,-98.775000,90.000000,top
"C10","1u 50 V","C_0603_1608Metric",114.900000,-95.600000,90.000000,top
"C11","0.1u 50 V","C_0402_1005Metric",104.400000,-103.450000,-90.000000,top
"C13","0.1u 50 V","C_0402_1005Metric",104.400000,-105.400000,90.000000,top
"C14","1u 50 V","C_0603_1608Metric",114.400000,-106.600000,0.000000,top
"C15","1u 50 V","C_0603_1608Metric",114.825000,-101.450000,0.000000,top
"C16","10u","C_0805_2012Metric",104.150000,-112.400000,180.000000,top
"C17","4.7u 16 V","C_0603_1608Metric",103.975000,-110.600000,180.000000,top
"C18","4.7u 16 V","C_0603_1608Metric",112.500000,-113.000000,90.000000,top
"C19","1u 50 V","C_0603_1608Metric",114.225000,-113.000000,90.000000,top
"C20","1u 50 V","C_0603_1608Metric",114.200000,-110.000000,90.000000,top
"C21","0.1u 650 V","C_2220_5750Metric",121.250000,-95.400000,90.000000,top
"C22","0.1u 650 V","C_2220_5750Metric",128.200000,-95.400000,90.000000,top
"C23","0.1u 650 V","C_2220_5750Metric",135.150000,-95.400000,90.000000,top
"C24","0.1u 650 V","C_2220_5750Metric",142.100000,-95.400000,90.000000,top
"C25","0.1u 650 V","C_2220_5750Metric",149.050000,-95.400000,90.000000,top
"C26","0.1u 650 V","C_2220_5750Metric",156.000000,-95.400000,90.000000,top
"C27","0.1u 650 V","C_2220_5750Metric",146.500000,-110.900000,-90.000000,top
"C28","0.1u 650 V","C_2220_5750Metric",139.500000,-110.900000,-90.000000,top
"D1","5.8","D_SOD-323",117.000000,-98.850000,90.000000,top
"D2","5.8","D_SOD-323",116.425000,-113.000000,90.000000,top
"R1","0","R_0603_1608Metric",103.200000,-115.800000,0.000000,top
"R2","3.3k","R_0402_1005Metric",102.600000,-119.600000,-90.000000,top
"R3","2","R_0603_1608Metric",114.825000,-118.600000,0.000000,top
"R4","2.2k","R_0402_1005Metric",111.000000,-99.050000,90.000000,top
"R5","10","R_0603_1608Metric",114.825000,-117.000000,0.000000,top
"R6","1k","R_0603_1608Metric",117.000000,-95.600000,90.000000,top
"R7","10k","R_0402_1005Metric",117.225000,-119.400000,-90.000000,top
"R8","0","R_0603_1608Metric",103.400000,-101.600000,0.000000,top
"R9","3.3k","R_0402_1005Metric",102.400000,-105.400000,-90.000000,top
"R10","10","R_0603_1608Metric",114.775000,-103.000000,0.000000,top
"R11","2","R_0603_1608Metric",114.775000,-104.600000,0.000000,top
"R12","10k","R_0402_1005Metric",116.900000,-105.890000,-90.000000,top
"R13","2.2k","R_0402_1005Metric",110.900000,-113.500000,90.000000,top
"R14","1k","R_0603_1608Metric",116.500000,-109.800000,90.000000,top
"U1","SI8271GB-IS","SOIC-8_3.9x4.9mm_P1.27mm",108.900000,-103.519600,0.000000,top
"U2","SI8271GB-IS","SOIC-8_3.9x4.9mm_P1.27mm",108.995000,-117.750000,0.000000,top
"U3","GS61004B","GS6XXX4B",121.525000,-116.315000,0.000000,top
"U5","GS61004B","GS6XXX4B",121.075000,-103.365000,0.000000,top
